"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Wyższa Szkoła Informatyki i Zarządzania z siedzibą w Rzeszowie","Wyższa Szkoła Informatyki i Zarządzania w Rze...",39,6,15.4,32,"ekonomia i finanse",14,301.71,2.79
"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","U. Kardynała Stefana Wyszyńskiego w Warszawie",43,6,14,23,"ekonomia i finanse",17.81,312.02,2.41
"Uniwersytet Ekonomiczny w Katowicach","U. Ekonomiczny w Katowicach",436,57,13.1,148,"ekonomia i finanse",176.69,269.25,2.47
"Uniwersytet Jana Długosza w Częstochowie","U. Jana Długosza w Częstochowie",23,3,13,12,"ekonomia i finanse",8,282.5,2.88
"Uniwersytet Ekonomiczny we Wrocławiu","U. Ekonomiczny we Wrocławiu",403,52,12.9,152,"ekonomia i finanse",166,260.77,2.43
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",146,18,12.3,69,"ekonomia i finanse",60.63,318.9,2.41
"Uniwersytet Gdański","U. Gdański",198,24,12.1,92,"ekonomia i finanse",81.02,310.23,2.44
"Uniwersytet Opolski","U. Opolski",63,7,11.1,29,"ekonomia i finanse",24.13,271.16,2.61
"Uniwersytet Wrocławski","U. Wrocławski",85,9,10.6,36,"ekonomia i finanse",35.75,320.25,2.38
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",127,13,10.2,64,"ekonomia i finanse",54.63,286.25,2.32
"Instytut Nauk Ekonomicznych Polskiej Akademii Nauk","Inst. Nauk Ekonomicznych PAN",62,5,8.1,50,"ekonomia i finanse",25.81,311.7,2.4
"Uniwersytet Komisji Edukacji Narodowej w Krakowie","U. Komisji Edukacji Narodowej w Krakowie",37,3,8.1,19,"ekonomia i finanse",16.69,294.73,2.22
"Uniwersytet Ekonomiczny w Krakowie","U. Ekonomiczny w Krakowie",518,38,7.3,209,"ekonomia i finanse",215.28,257.93,2.41
"Uniwersytet w Białymstoku","U. w Białymstoku",155,10,6.5,49,"ekonomia i finanse",57.31,291.43,2.7
"Politechnika Gdańska","P. Gdańska",78,5,6.4,57,"ekonomia i finanse",32.33,393.1,2.41
"Uniwersytet Łódzki","U. Łódzki",704,42,6,236,"ekonomia i finanse",261.33,277.22,2.69
"Akademia Leona Koźmińskiego w Warszawie","Akademia Leona Koźmińskiego w Warszawie",86,5,5.8,67,"ekonomia i finanse",36,335.64,2.39
"Uniwersytet Ekonomiczny w Poznaniu","U. Ekonomiczny w Poznaniu",581,29,5,234,"ekonomia i finanse",222.24,276.08,2.61
"Uniwersytet Warszawski","U. Warszawski",379,19,5,239,"ekonomia i finanse",133.54,339.1,2.84
"Szkoła Główna Handlowa w Warszawie","SGH w Warszawie",837,39,4.7,332,"ekonomia i finanse",354.51,261.37,2.36
"Uniwersytet Kazimierza Wielkiego w Bydgoszczy","U. Kazimierza Wielkiego w Bydgoszczy",35,1,2.9,17,"ekonomia i finanse",15.31,262.57,2.29
"Instytut Pracy i Spraw Socjalnych","Inst. Pracy i Spraw Socjalnych",38,1,2.6,8,"ekonomia i finanse",13.34,267.92,2.85
"Uniwersytet Radomski im. Kazimierza Pułaskiego","U. Radomski",56,1,1.8,20,"ekonomia i finanse",20.25,285.33,2.77
"Akademia Finansów i Biznesu Vistula","Akademia Finansów i Biznesu Vistula",50,0,0,29,"ekonomia i finanse",17.38,306.96,2.88
"Akademia Mazowiecka w Płocku","Akademia Mazowiecka w Płocku",18,0,0,15,"ekonomia i finanse",7.63,169.86,2.36
"Uczelnia Łazarskiego w Warszawie","Uczelnia Łazarskiego w Warszawie",30,0,0,19,"ekonomia i finanse",13.3,290.68,2.26
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",43,0,0,34,"ekonomia i finanse",23.25,364.73,1.85
