"","Energies","Sustainability","Zeszyty Naukowe Politechniki Śląskiej. Seria Organizacja i Zarządzanie","European Research Studies Journal","Economics and Environment","Optimum. Economic Studies","Zeszyty Naukowe Akademii Górnośląskiej","Zeszyty Naukowe. Organizacja i Zarządzanie/Politechnika Śląska","Comparative Economic Research-Central and Eastern Europe","International Entrepreneurship Review","Polityka Społeczna","Agriculture","International Journal of Management and Economics","Wiadomości Statystyczne","Ekonomia i Prawo-Economics and Law","Ekonomia – Wroclaw Economic Review","Annales Universitatis Mariae Curie-Skłodowska, Sec. H Oeconomia","Journal of Modern Science","PLoS ONE","Bank i Kredyt","Zeszyty Teoretyczne Rachunkowości","Entrepreneurial Business and Economics Review","Argumenta Oeconomica","Technological and Economic Development of Economy","Equilibrium-Quarterly Journal of Economics and Economic Policy","Journal of Finance and Financial Law","PRACE NAUKOWE UNIWERSYTETU EKONOMICZNEGO WE WROCŁAWIU","Horyzonty Polityki","Ruch Prawniczy, Ekonomiczny i Socjologiczny","Humanities and Social Sciences"
"Inst. Rozwoju Wsi i Rolnictwa PAN",21,10,0,2,1,0,0,0,0,0,1,5,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
"Katolicki Uniwersytet Lubelski Jana Pawła II",10,4,0,10,1,0,0,3,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0
"Lubelska Akademia WSEI",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0
"P. Gdańska",4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,3,3,0,0,2,1,0
"P. Koszalińska",41,15,0,1,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"P. Opolska",17,1,6,1,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0
"P. Rzeszowska",27,0,0,15,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9
"P. Wrocławska",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGGW w Warszawie",64,35,4,29,6,1,2,0,3,0,0,14,1,3,0,3,2,8,2,0,1,0,0,0,4,1,0,2,0,0
"SGH w Warszawie",22,10,13,9,13,11,2,0,5,1,6,0,32,9,3,5,6,9,3,19,8,4,7,5,4,9,7,5,6,2
"U. Ekonomiczny w Katowicach",25,21,6,4,4,13,32,63,0,2,2,0,4,9,3,4,2,2,1,0,10,2,2,0,1,0,7,3,7,1
"U. Ekonomiczny w Krakowie",21,13,32,3,21,3,5,1,4,36,3,0,1,2,5,0,7,0,3,5,5,10,2,2,2,4,3,18,5,0
"U. Ekonomiczny w Poznaniu",12,5,42,4,21,12,10,4,3,6,11,1,7,7,6,6,6,2,3,10,12,5,5,1,4,1,7,1,10,2
"U. Ekonomiczny we Wrocławiu",15,23,10,6,27,3,2,0,3,0,8,0,7,8,8,10,7,1,5,3,2,0,8,2,4,2,11,3,1,1
"U. Gdański",7,11,31,3,9,3,1,0,0,2,0,0,1,0,2,2,1,1,4,1,1,3,0,1,3,0,0,1,0,0
"U. Jagielloński w Krakowie",0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0
"U. Jana Długosza w Częstochowie",0,1,3,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Jana Kochanowskiego w Kielcach",7,3,2,4,2,3,10,4,0,1,0,1,0,1,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,1
"U. Kardynała Stefana Wyszyńskiego w Warszawie",5,0,1,2,2,0,1,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1
"U. Kazimierza Wielkiego w Bydgoszczy",0,0,6,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
"U. Komisji Edukacji Narodowej w Krakowie",0,3,0,7,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"U. Marii Curie-Skłodowskiej w Lublinie",2,8,7,1,1,9,1,0,2,3,0,0,2,0,3,1,11,2,0,2,0,2,1,0,2,1,0,1,2,4
"U. Mikołaja Kopernika w Toruniu",10,5,18,7,1,4,0,0,2,0,2,0,1,3,7,0,1,0,5,1,2,1,5,3,2,0,0,0,0,0
"U. Opolski",2,1,18,5,5,0,4,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0
"U. Przyrodniczy w Poznaniu",18,27,2,25,8,1,0,0,2,0,0,24,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0
"U. Radomski",1,0,6,23,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0
"U. Rolniczy w Krakowie",16,6,3,8,3,0,1,0,0,3,0,7,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0
"U. Rzeszowski",16,9,5,3,2,1,0,7,1,1,0,2,0,0,0,0,0,2,0,0,1,1,0,1,2,0,0,0,0,11
"U. Szczeciński",46,16,15,32,10,2,0,0,0,4,0,0,2,7,0,0,3,1,1,0,1,0,0,6,0,0,1,1,0,2
"U. Warmińsko-Mazurski w Olsztynie",19,21,2,3,4,0,5,0,0,2,2,0,3,1,3,1,0,1,1,1,1,1,2,5,3,0,0,0,2,0
"U. Warszawski",4,5,0,2,2,0,1,0,0,1,2,0,5,1,0,0,0,1,13,3,1,3,1,0,1,0,0,0,0,0
"U. Wrocławski",9,0,3,2,0,3,0,0,0,0,0,0,0,2,1,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"U. Zielonogórski w Zielonej Górze",31,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"U. w Białymstoku",6,2,1,2,6,34,4,0,1,1,0,0,1,0,6,4,1,0,0,0,0,0,1,2,1,0,0,0,0,1
"U. Łódzki",20,13,53,10,23,10,5,0,50,5,8,1,4,19,14,1,12,1,3,5,4,3,8,6,10,28,6,1,4,3
"Uczelnia Łazarskiego w Warszawie",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Wyższa Szkoła Informatyki i Zarządzania w Rze...",3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,1
"Zachodniopomorski Uniwersytet Technologiczny ...",29,12,12,12,5,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0
