"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Uniwersytet Opolski","U. Opolski",60,15,25,32,"nauki biologiczne",18.24,396.27,3.29
"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie","U. Rolniczy w Krakowie",108,26,24.1,58,"nauki biologiczne",35.84,458.29,3.01
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",331,79,23.9,161,"nauki biologiczne",104.74,415.77,3.16
"Instytut Biochemii i Biofizyki Polskiej Akademii Nauk","Inst. Biochemii i Biofizyki PAN",288,61,21.2,143,"nauki biologiczne",97.25,424.53,2.96
"Instytut Chemii Bioorganicznej Polskiej Akademii Nauk","Inst. Chemii Bioorganicznej PAN",278,57,20.5,154,"nauki biologiczne",96.28,362.42,2.89
"Uniwersytet Przyrodniczy w Poznaniu","U. Przyrodniczy w Poznaniu",74,12,16.2,42,"nauki biologiczne",24.51,485.92,3.02
"Instytut Biologii Doświadczalnej im. Marcelego Nenckiego Polskiej Akademii Nauk","Inst. Biologii Doświadczalnej",447,68,15.2,231,"nauki biologiczne",146.84,428.64,3.04
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",700,103,14.7,269,"nauki biologiczne",226.9,430.34,3.09
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",1216,175,14.4,442,"nauki biologiczne",394.14,428.62,3.09
"Uniwersytet Warszawski","U. Warszawski",717,102,14.2,337,"nauki biologiczne",229.58,418.74,3.12
"Muzeum i Instytut Zoologii Polskiej Akademii Nauk","Muzeum i Instytut Zoologii PAN",163,20,12.3,79,"nauki biologiczne",52,394.83,3.13
"Instytut Dendrologii Polskiej Akademii Nauk","Inst. Dendrologii PAN",70,6,8.6,29,"nauki biologiczne",22.89,510.88,3.06
"Instytut Botaniki im. Władysława Szafera Polskiej Akademii Nauk","Inst. Botaniki",127,9,7.1,64,"nauki biologiczne",41,484.9,3.1
"Europejskie Regionalne Centrum Ekohydrologii Polskiej Akademii Nauk","Europejskie Regionalne Centrum Ekohydrologii PAN",45,3,6.7,23,"nauki biologiczne",14.63,437.66,3.08
"Międzynarodowy Instytut Biologii Molekularnej i Komórkowej w Warszawie","Międzynarodowy Instytut Biologii Molekularnej...",193,8,4.1,113,"nauki biologiczne",72.39,383.6,2.67
"Instytut Ochrony Przyrody Polskiej Akademii Nauk","Inst. Ochrony Przyrody PAN",140,5,3.6,53,"nauki biologiczne",46.5,483.23,3.01
"Instytut Systematyki i Ewolucji Zwierząt Polskiej Akademii Nauk","Inst. Systematyki i Ewolucji Zwierząt PAN",106,3,2.8,57,"nauki biologiczne",34.59,474.01,3.06
"Instytut Biologii Ssaków Polskiej Akademii Nauk","Inst. Biologii Ssaków PAN",102,1,1,55,"nauki biologiczne",30.19,459.29,3.38
"Międzynarodowy Instytut Mechanizmów i Maszyn Molekularnych Polskiej Akademii Nauk - IMol","Międzynarodowy Instytut Mechanizmów i Maszyn ...",61,0,0,43,"nauki biologiczne",27.25,328.92,2.24
